,Year,Month,Date,truck,hour,Upload speed (Mbits/sec),Download speed (MBits/sec),Download speed (MBytes),Upload size (MBytes),Upload throughput (MBytes),speed,Response time from CloudflareDNS (ms),Response time from GoogleDNS (ms),Response time from OptusDNS (ms),Response time from EC2DNS (ms)
1,2022.0,7.0,21.0,garbo07,12.0,11.315233433734939,18.081424222279743,2.1556443400555345,1.347176204819277,0.00896349154322976,46.63030447891566,193.90965217391306,193.7377391304348,191.67052173913044,211.33904347826086
2,2022.0,7.0,21.0,garbo07,14.0,32.2231684981685,83.34926739926739,9.932912087912088,3.8411651499542123,0.005116652763611012,2.6443820701754386,55.882897384305835,54.51629778672032,53.64446680080483,73.88611670020121
0,2022.0,7.0,22.0,garbo07,11.0,9.408605166051661,14.95850184501845,1.7832069303505533,1.12173454797048,0.005344853467170259,27.84389569410051,380.93865671641794,381.28891376451077,380.5156135986733,394.53366500829185
1,2022.0,7.0,22.0,garbo07,12.0,10.557204783258596,25.5721357086136,3.0482066429605754,1.2575518497757847,0.00983454526397227,59.103541099009895,354.3641853932584,354.4567415730337,353.46912921348314,368.2811797752809
0,2022.0,7.0,6.0,garbo08,8.0,6.448426966292135,12.062977528089888,1.4383626667837077,0.7683424771769664,0.003334988774480019,-1.0,278.47484276729557,280.025786163522,279.311320754717,298.5893081761006
1,2022.0,7.0,6.0,garbo08,10.0,8.729461077844311,23.286586826347307,2.7764071856287424,1.040025261976048,0.00257385090777746,-1.0,526.9032258064516,526.6763440860216,526.2351254480287,535.9419354838709
2,2022.0,7.0,6.0,garbo08,11.0,3.402294736842105,4.068672286617492,0.4850304596944152,0.40570152138157894,0.006916245748830358,-1.0,181.64732423924448,183.2007345225603,182.88394543546693,203.32109129066106
0,2022.0,7.0,7.0,garbo08,9.0,9.730278481012657,13.947595975079114,1.662612737341772,1.1589550039556962,0.006976666701467377,-1.0,379.8920577617328,380.64500601684716,378.2564380264741,393.2767749699158
1,2022.0,7.0,7.0,garbo08,10.0,8.370396205357142,12.580679086957659,1.4998490824018205,0.9965234374999999,0.007169158863169764,-0.8570259743303571,371.02839024390244,369.47648780487805,369.0107642276423,386.0770731707317
2,2022.0,7.0,7.0,garbo08,11.0,8.43432574430823,23.091720021298524,2.7527988834236354,1.0040863981319323,0.007895346350371969,5.320538840630473,388.4064063035286,387.57783487495715,387.2616306954436,403.0291880781089
